   i      U(i)        H(U)(i)  Hinv(H(U))(i)
  171    0.639804    0.209000    0.785000
  172    1.283332   -0.439300    0.738600
  173    0.781319   -0.350600    0.872900
  174    0.549565    0.025600    0.677300
  175    1.324433   -0.004800    0.934900
  176    0.657265   -0.282800    1.068700
  177    0.637263   -0.084000    1.071300
  178    1.013583   -0.473100    1.014100
  179    1.218795    0.118600    0.677200
  180    1.174921   -0.222700    0.575200
  181    0.926665    0.266200    1.251100
  182    0.657939    0.260100    0.922600
  183    0.533961    0.351500    1.228000
  184    0.812864    0.597000    1.277300
  185    1.287528    0.026200    1.004600
  186    1.225585   -0.295700    1.085200
  187    1.085762   -0.414600    1.165700
  188    0.948630    0.285000    0.726100
  189    0.650877    0.169000    0.854000
  190    0.595170   -0.133100    0.681300
  191    1.313048   -0.221600    1.336800
  192    0.580987    0.020700    1.317600
  193    1.114345    0.115000    1.288700
  194    1.310397   -0.131300    0.841100
  195    0.554508    0.050500    0.992700
  196    0.665049    0.102900    0.495200
  197    1.209892    0.218400    0.767600
  198    1.019194    0.522400    0.541200
  199    0.704412    0.622700    0.844000
  200    0.903345    0.256300    0.649100
  201    0.551555   -0.192400    1.001800
  202    1.209477    0.318100    0.982300
  203    1.263235    0.213000    0.948200
  204    0.974811    0.136100    0.533600
  205    1.257271   -0.079200    0.992200
  206    0.898600    0.320100    1.200100
  207    0.934844    0.373700    0.654000
  208    1.085233   -0.368100    0.793900
  209    1.104689   -0.050700    1.366700
  210    0.918861    0.124600    0.806000
  211    0.485759   -0.331800    1.110000
  212    0.507064    0.063600    1.193900
  213    1.018225    0.042800    1.435200
  214    1.223702   -0.209800    0.756200
  215    0.769356    0.297300    0.696600
  216    0.515551   -0.228600    1.053900
  217    1.096297   -0.263100    0.983800
  218    1.254370    0.045400    1.139400
  219    1.166517    0.470900    0.903900
  220    0.634292    0.216600    1.134900
  221    0.718318    0.077400    0.863300
  222    0.820983   -0.014300    1.346200
  223    0.571429    0.080700    0.705200
  224    0.593566   -0.219900    1.099500
  225    0.549530   -0.372100    0.784000
  226    0.972432    0.029300    0.930000
  227    0.941734    0.286600    1.136700
  228    0.904572   -0.062700    1.418800
  229    0.688126    0.029100    0.724800
  230    1.095131   -0.019200    1.062600
  231    0.826460    0.186200    1.073300
  232    1.186281    0.064600    1.308500
  233    1.318946    0.288800    0.713400
  234    1.137605    0.136400    0.844300
